# stage=ASR,file=b01eeg_asr1
window,t0_s,t1_s,error,n_ic,n_brain,n_other,n_artifact,n_muscle,n_eye,n_heart,n_line_noise,n_channel_noise,mean_conf_pred,mean_conf_artifact_ics,mean_sum_P_artifact,avg_conf_brain,avg_conf_other,avg_conf_artifact,mean_prob_brain,mean_prob_muscle,mean_prob_eye,mean_prob_heart,mean_prob_line_noise,mean_prob_channel_noise,mean_prob_other
0,0.0000,60.0000,,24,10,12,2,1,1,0,0,0,0.657578,0.646617,0.199815,0.690790,0.631728,0.646617,0.383960,0.045353,0.077791,0.025522,0.023076,0.028074,0.416225
1,60.0000,120.0000,,24,4,18,2,0,0,2,0,0,0.732788,0.498878,0.156762,0.835055,0.736052,0.498878,0.252656,0.011445,0.033985,0.050776,0.026453,0.034104,0.590582
2,120.0000,180.0000,,24,7,15,2,0,0,1,1,0,0.660087,0.428956,0.130638,0.528540,0.752293,0.428956,0.262023,0.016946,0.020946,0.026823,0.050915,0.015009,0.607339
3,180.0000,240.0000,,24,3,18,3,0,2,1,0,0,0.735592,0.630974,0.185157,0.567938,0.780971,0.630974,0.165290,0.017659,0.073474,0.061959,0.017129,0.014936,0.649553
4,240.0000,300.0000,,24,4,18,2,0,2,0,0,0,0.674681,0.572300,0.132419,0.513210,0.721939,0.572300,0.236478,0.018854,0.068781,0.006119,0.023416,0.015249,0.631103
5,300.0000,360.0000,,24,4,20,0,0,0,0,0,0,0.789823,,0.077946,0.649202,0.817947,,0.198146,0.026789,0.007626,0.006783,0.016387,0.020361,0.723908
6,360.0000,420.0000,,24,4,20,0,0,0,0,0,0,0.777959,,0.064941,0.514397,0.830672,,0.178591,0.003591,0.006541,0.004600,0.024122,0.026087,0.756468
7,420.0000,480.0000,,24,2,21,1,0,0,0,1,0,0.746439,0.382017,0.083916,0.586920,0.778985,0.382017,0.195472,0.011933,0.011624,0.007979,0.038118,0.014262,0.720613
8,480.0000,540.0000,,24,0,24,0,0,0,0,0,0,0.819369,,0.068277,,0.819369,,0.112354,0.016714,0.018766,0.005084,0.016995,0.010718,0.819369
9,540.0000,600.0000,,24,3,21,0,0,0,0,0,0,0.789000,,0.072105,0.659430,0.807510,,0.186829,0.020208,0.009094,0.004639,0.027852,0.010313,0.741066
10,600.0000,660.0000,,24,6,17,1,1,0,0,0,0,0.785977,0.455666,0.103017,0.708882,0.832618,0.455666,0.236692,0.022491,0.007233,0.007866,0.035417,0.030010,0.660291
11,660.0000,720.0000,,24,5,19,0,0,0,0,0,0,0.771491,,0.078791,0.650481,0.803336,,0.234153,0.010732,0.011700,0.019059,0.021823,0.015477,0.687056
12,720.0000,780.0000,,24,10,13,1,0,0,0,1,0,0.659935,0.529223,0.151484,0.704332,0.635839,0.529223,0.406850,0.023169,0.023792,0.012027,0.070393,0.022103,0.441666
13,780.0000,840.0000,,24,10,13,1,0,0,0,1,0,0.720070,0.589200,0.099309,0.685449,0.756769,0.589200,0.380900,0.007710,0.018938,0.008992,0.047978,0.015691,0.519790
14,840.0000,900.0000,,24,4,19,1,0,0,0,1,0,0.770276,0.365071,0.080482,0.646600,0.817640,0.365071,0.210182,0.005050,0.021038,0.003469,0.038617,0.012307,0.709336
15,900.0000,960.0000,,24,4,19,1,1,0,0,0,0,0.773202,0.406552,0.106949,0.447574,0.861052,0.406552,0.146557,0.033906,0.009800,0.008275,0.041274,0.013693,0.746495

# GLOBAL_SUMMARY,仅统计 error 为空的窗口
metric,value
successful_windows,16
total_ic_predictions,384
n_brain,80
n_other,287
n_artifact,17
pct_brain_percent,20.833333
pct_other_percent,74.739583
pct_artifact_percent,4.427083
