# stage=IIR,file=b01eeg_iir1
window,t0_s,t1_s,error,n_ic,n_brain,n_other,n_artifact,n_muscle,n_eye,n_heart,n_line_noise,n_channel_noise,mean_conf_pred,mean_conf_artifact_ics,mean_sum_P_artifact,avg_conf_brain,avg_conf_other,avg_conf_artifact,mean_prob_brain,mean_prob_muscle,mean_prob_eye,mean_prob_heart,mean_prob_line_noise,mean_prob_channel_noise,mean_prob_other
0,0.0000,60.0000,,24,4,20,0,0,0,0,0,0,0.721061,,0.120074,0.482753,0.768723,,0.193511,0.013743,0.015523,0.028670,0.025967,0.036171,0.686415
1,60.0000,120.0000,,24,24,0,0,0,0,0,0,0,0.960637,,0.008096,0.960637,,,0.960637,0.001473,0.003383,0.000154,0.002707,0.000378,0.031267
2,120.0000,180.0000,,24,24,0,0,0,0,0,0,0,0.953303,,0.011362,0.953303,,,0.953303,0.005676,0.002486,0.000233,0.002567,0.000399,0.035335
3,180.0000,240.0000,,24,24,0,0,0,0,0,0,0,0.940666,,0.013934,0.940666,,,0.940666,0.002648,0.006942,0.000401,0.003294,0.000647,0.045401
4,240.0000,300.0000,,24,24,0,0,0,0,0,0,0,0.952253,,0.009576,0.952253,,,0.952253,0.001884,0.002802,0.000193,0.004287,0.000410,0.038172
5,300.0000,360.0000,,24,24,0,0,0,0,0,0,0,0.945417,,0.008096,0.945417,,,0.945417,0.000889,0.002400,0.000217,0.004100,0.000490,0.046487
6,360.0000,420.0000,,24,24,0,0,0,0,0,0,0,0.943598,,0.010886,0.943598,,,0.943598,0.000635,0.002969,0.000257,0.006628,0.000396,0.045516
7,420.0000,480.0000,,24,24,0,0,0,0,0,0,0,0.956704,,0.007930,0.956704,,,0.956704,0.000693,0.003589,0.000179,0.002954,0.000514,0.035367
8,480.0000,540.0000,,24,24,0,0,0,0,0,0,0,0.952255,,0.008199,0.952255,,,0.952255,0.001260,0.002732,0.000176,0.003661,0.000370,0.039546
9,540.0000,600.0000,,24,24,0,0,0,0,0,0,0,0.956296,,0.008078,0.956296,,,0.956296,0.001312,0.002599,0.000201,0.003610,0.000357,0.035626
10,600.0000,660.0000,,24,24,0,0,0,0,0,0,0,0.958478,,0.008958,0.958478,,,0.958478,0.001201,0.002533,0.000147,0.004737,0.000340,0.032564
11,660.0000,720.0000,,24,24,0,0,0,0,0,0,0,0.955244,,0.009325,0.955244,,,0.955244,0.001195,0.003443,0.000407,0.003793,0.000487,0.035431
12,720.0000,780.0000,,24,24,0,0,0,0,0,0,0,0.952195,,0.009700,0.952195,,,0.952195,0.000831,0.003932,0.000258,0.004241,0.000439,0.038105
13,780.0000,840.0000,,24,24,0,0,0,0,0,0,0,0.944624,,0.011265,0.944624,,,0.944624,0.002695,0.004313,0.000282,0.003594,0.000381,0.044111
14,840.0000,900.0000,,24,24,0,0,0,0,0,0,0,0.935218,,0.009366,0.935218,,,0.935218,0.000600,0.003417,0.000224,0.004733,0.000393,0.055416
15,900.0000,960.0000,,24,24,0,0,0,0,0,0,0,0.948729,,0.010404,0.948729,,,0.948729,0.003276,0.003085,0.000360,0.003297,0.000387,0.040867

# GLOBAL_SUMMARY,仅统计 error 为空的窗口
metric,value
successful_windows,16
total_ic_predictions,384
n_brain,364
n_other,20
n_artifact,0
pct_brain_percent,94.791667
pct_other_percent,5.208333
pct_artifact_percent,0.000000
