# stage=ORICA,file=b01eeg_orica1
window,t0_s,t1_s,error,n_ic,n_brain,n_other,n_artifact,n_muscle,n_eye,n_heart,n_line_noise,n_channel_noise,mean_conf_pred,mean_conf_artifact_ics,mean_sum_P_artifact,avg_conf_brain,avg_conf_other,avg_conf_artifact,mean_prob_brain,mean_prob_muscle,mean_prob_eye,mean_prob_heart,mean_prob_line_noise,mean_prob_channel_noise,mean_prob_other
0,0.0000,60.0000,,24,13,10,1,0,1,0,0,0,0.719918,0.442222,0.072332,0.789636,0.657055,0.442222,0.555642,0.011561,0.029338,0.008299,0.014570,0.008564,0.372025
1,60.0000,120.0000,,24,11,11,2,1,1,0,0,0,0.757985,0.707379,0.187395,0.794158,0.731013,0.707379,0.415030,0.044781,0.075485,0.022773,0.016003,0.028353,0.397575
2,120.0000,180.0000,,24,9,11,4,1,1,1,1,0,0.725626,0.736461,0.203371,0.772519,0.683318,0.736461,0.402687,0.029746,0.065559,0.050824,0.040822,0.016419,0.393942
3,180.0000,240.0000,,24,10,13,1,0,1,0,0,0,0.720426,0.774532,0.178361,0.760965,0.685080,0.774532,0.400772,0.014921,0.087129,0.040461,0.018203,0.017647,0.420867
4,240.0000,300.0000,,24,7,12,5,2,2,1,0,0,0.693117,0.645067,0.228567,0.705882,0.705691,0.645067,0.332683,0.053627,0.081522,0.059882,0.017378,0.016157,0.438750
5,300.0000,360.0000,,24,13,9,2,0,2,0,0,0,0.736141,0.619086,0.144646,0.765506,0.719736,0.619086,0.481084,0.026759,0.067971,0.008942,0.023613,0.017361,0.374270
6,360.0000,420.0000,,24,12,12,0,0,0,0,0,0,0.704604,,0.123614,0.701461,0.707748,,0.417500,0.015846,0.042084,0.029614,0.022115,0.013954,0.458885
7,420.0000,480.0000,,24,8,13,3,1,2,0,0,0,0.688636,0.677056,0.180288,0.785891,0.631459,0.677056,0.404092,0.037994,0.078516,0.023448,0.017700,0.022630,0.415620
8,480.0000,540.0000,,24,11,11,2,1,1,0,0,0,0.677030,0.590413,0.137575,0.708876,0.660932,0.590413,0.451752,0.044173,0.040287,0.015593,0.026215,0.011307,0.410673
9,540.0000,600.0000,,24,13,8,3,0,2,1,0,0,0.707437,0.746639,0.181034,0.654434,0.778867,0.746639,0.415450,0.012550,0.073749,0.047856,0.037422,0.009458,0.403516
10,600.0000,660.0000,,24,11,10,3,2,1,0,0,0,0.657172,0.398064,0.139087,0.725422,0.659829,0.398064,0.451281,0.042863,0.038694,0.015849,0.031311,0.010369,0.409632
11,660.0000,720.0000,,24,11,12,1,0,1,0,0,0,0.659737,0.533286,0.152644,0.691799,0.640884,0.533286,0.423833,0.021214,0.049082,0.026413,0.037648,0.018288,0.423523
12,720.0000,780.0000,,24,12,12,0,0,0,0,0,0,0.683323,,0.102180,0.715837,0.650809,,0.473373,0.022212,0.024220,0.010280,0.027530,0.017938,0.424447
13,780.0000,840.0000,,24,6,18,0,0,0,0,0,0,0.682378,,0.119943,0.619635,0.703292,,0.273468,0.013312,0.048334,0.021201,0.018389,0.018707,0.606589
14,840.0000,900.0000,,24,5,18,1,0,1,0,0,0,0.704472,0.656172,0.138062,0.711347,0.705246,0.656172,0.285301,0.021460,0.056606,0.004989,0.035527,0.019479,0.576637
15,900.0000,960.0000,,24,9,14,1,0,0,0,1,0,0.755047,0.615685,0.108078,0.722931,0.785647,0.615685,0.340935,0.006910,0.021955,0.005992,0.061161,0.012059,0.550987

# GLOBAL_SUMMARY,仅统计 error 为空的窗口
metric,value
successful_windows,16
total_ic_predictions,384
n_brain,161
n_other,194
n_artifact,29
pct_brain_percent,41.927083
pct_other_percent,50.520833
pct_artifact_percent,7.552083
