# stage=Raw,file=b01eeg_raw1
window,t0_s,t1_s,error,n_ic,n_brain,n_other,n_artifact,n_muscle,n_eye,n_heart,n_line_noise,n_channel_noise,mean_conf_pred,mean_conf_artifact_ics,mean_sum_P_artifact,avg_conf_brain,avg_conf_other,avg_conf_artifact,mean_prob_brain,mean_prob_muscle,mean_prob_eye,mean_prob_heart,mean_prob_line_noise,mean_prob_channel_noise,mean_prob_other
0,0.0000,60.0000,,24,24,0,0,0,0,0,0,0,0.926324,,0.006066,0.926324,,,0.926324,0.000115,0.002892,0.000060,0.002516,0.000483,0.067611
1,60.0000,120.0000,,24,24,0,0,0,0,0,0,0,0.926478,,0.006055,0.926478,,,0.926478,0.000114,0.002876,0.000060,0.002523,0.000482,0.067467
2,120.0000,180.0000,,24,24,0,0,0,0,0,0,0,0.925594,,0.006112,0.925594,,,0.925594,0.000120,0.002961,0.000058,0.002486,0.000487,0.068294
3,180.0000,240.0000,,24,24,0,0,0,0,0,0,0,0.926318,,0.006066,0.926318,,,0.926318,0.000115,0.002893,0.000060,0.002516,0.000483,0.067616
4,240.0000,300.0000,,24,24,0,0,0,0,0,0,0,0.926381,,0.006062,0.926381,,,0.926381,0.000115,0.002886,0.000060,0.002518,0.000483,0.067558
5,300.0000,360.0000,,24,24,0,0,0,0,0,0,0,0.926192,,0.006075,0.926192,,,0.926192,0.000116,0.002906,0.000059,0.002510,0.000484,0.067734
6,360.0000,420.0000,,24,24,0,0,0,0,0,0,0,0.926246,,0.006071,0.926246,,,0.926246,0.000116,0.002900,0.000059,0.002513,0.000483,0.067683
7,420.0000,480.0000,,24,24,0,0,0,0,0,0,0,0.926363,,0.006063,0.926363,,,0.926363,0.000115,0.002888,0.000060,0.002518,0.000483,0.067574
8,480.0000,540.0000,,24,0,24,0,0,0,0,0,0,0.515232,,0.014971,,0.515232,,0.469797,0.000802,0.001024,0.000164,0.010645,0.002337,0.515232
9,540.0000,600.0000,,24,24,0,0,0,0,0,0,0,0.926032,,0.006085,0.926032,,,0.926032,0.000117,0.002922,0.000059,0.002503,0.000484,0.067883
10,600.0000,660.0000,,24,24,0,0,0,0,0,0,0,0.926242,,0.006071,0.926242,,,0.926242,0.000116,0.002900,0.000059,0.002512,0.000483,0.067687
11,660.0000,720.0000,,24,24,0,0,0,0,0,0,0,0.926293,,0.006068,0.926293,,,0.926293,0.000115,0.002895,0.000059,0.002515,0.000483,0.067639
12,720.0000,780.0000,,24,24,0,0,0,0,0,0,0,0.925741,,0.006103,0.925741,,,0.925741,0.000119,0.002948,0.000059,0.002492,0.000486,0.068156
13,780.0000,840.0000,,24,24,0,0,0,0,0,0,0,0.926158,,0.006077,0.926158,,,0.926158,0.000116,0.002909,0.000059,0.002509,0.000484,0.067765
14,840.0000,900.0000,,24,24,0,0,0,0,0,0,0,0.925708,,0.006105,0.925708,,,0.925708,0.000119,0.002951,0.000058,0.002490,0.000486,0.068187
15,900.0000,960.0000,,24,0,24,0,0,0,0,0,0,0.873016,,0.035213,,0.873016,,0.091771,0.001296,0.003207,0.000688,0.007655,0.022368,0.873016

# GLOBAL_SUMMARY,仅统计 error 为空的窗口
metric,value
successful_windows,16
total_ic_predictions,384
n_brain,336
n_other,48
n_artifact,0
pct_brain_percent,87.500000
pct_other_percent,12.500000
pct_artifact_percent,0.000000
